full_name,monetary,frequency,recency,rfm_segment
Ade Oktaviani,32393647,27,20,"slipping away, cannot lose"
Ade Padmasari,282352,1,1155,lost_customers
Ade Palastri,887954,2,375,lost_customers
Ade Permadi,344459,2,363,lost_customers
Ade Permata,206321,1,372,lost_customers
Ade Pertiwi,27083013,46,19,"slipping away, cannot lose"
Ade Pradipta,7239689,10,218,
Ade Prakasa,56497537,55,16,"slipping away, cannot lose"
Ade Prastuti,13470314,16,0,
Ade Pudjiastuti,228982509,196,63,
Ade Purnawati,405767,1,364,lost_customers
Ade Purwanti,40394937,37,33,active
Ade Puspasari,11948273,14,145,potential churners
Ade Putra,3289764,8,167,potential churners
Ade Rahayu,21526839,47,22,"slipping away, cannot lose"
Ade Rahimah,483736,1,29,
Ade Rahmawati,85441498,60,17,loyal
Ade Ramadan,3256958,4,424,lost_customers
Ade Riyanti,36368225,58,44,"slipping away, cannot lose"
Ade Saefullah,37101400,15,8,
Ade Safitri,128610036,222,5,loyal
Ade Santoso,373976,2,290,lost_customers
Ade Saptono,133291,1,365,lost_customers
Ade Setiawan,2299210,1,309,lost_customers
Ade Sihombing,177842787,246,1,loyal
Ade Sihotang,2658208,9,170,potential churners
Ade Simbolon,1037854,5,59,
Ade Sitorus,456513,2,901,lost_customers
Ade Suartini,40370639,63,3,"slipping away, cannot lose"
Ade Sudiati,114416848,110,38,loyal
Ade Suryatmi,21598596,17,164,potential churners
Ade Suryono,4689844,2,1338,lost_customers
Ade Tampubolon,3051625,9,29,potential churners
Ade Tarihoran,2695504,9,133,potential churners
Ade Usada,255916122,184,19,loyal
Ade Utama,1449867,2,419,lost_customers
Ade Utami,17831690,37,41,active
Ade Uwais,12739134,19,107,
Ade Uyainah,43067540,22,49,active
Ade Wahyuni,71718626,91,42,loyal
Ade Wastuti,178500136,177,56,loyal
Ade Wibowo,19721032,42,17,"slipping away, cannot lose"
Ade Widiastuti,18449034,41,34,active
Ade Wijayanti,2430573,4,214,lost_customers
Ade Winarsih,21613554,41,73,active
Ade Yolanda,11197615,16,172,potential churners
Ade Yulianti,9054360,16,28,potential churners
Ade Yuliarti,49335725,38,62,active
Ade Yuniar,14874943,25,35,active
Ade Zulaika,19737166,24,76,active
Adhiarja Budiyanto,208397,1,2050,lost_customers
Adhiarja Damanik,56987233,36,65,active
Adhiarja Firgantoro,7807860,4,2010,lost_customers
Adhiarja Firmansyah,1327428,5,50,
Adhiarja Gunawan,1162159,4,75,lost_customers
Adhiarja Haryanto,2750564,8,68,potential churners
Adhiarja Irawan,608339,1,399,lost_customers
Adhiarja Jailani,51636963,87,33,"slipping away, cannot lose"
Adhiarja Kusumo,3017809,1,1023,lost_customers
Adhiarja Lazuardi,5581463,13,68,potential churners
Adhiarja Maheswara,928551,4,49,
Adhiarja Mangunsong,154121229,64,28,loyal
Adhiarja Marbun,39600349,53,0,"slipping away, cannot lose"
Adhiarja Maryadi,4434224,5,358,lost_customers
Adhiarja Megantara,6491546,11,36,potential churners
Adhiarja Mustofa,67994,1,388,lost_customers
Adhiarja Nababan,9026318,14,105,potential churners
Adhiarja Nainggolan,4302125,12,53,potential churners
Adhiarja Pradana,4884875,6,447,
Adhiarja Pranowo,811968,3,213,lost_customers
Adhiarja Prasasta,654746,2,953,lost_customers
Adhiarja Prasetya,1453902,5,410,lost_customers
Adhiarja Prasetyo,3671850,11,55,potential churners
Adhiarja Putra,22332573,9,1368,active
Adhiarja Rajasa,575949,3,600,lost_customers
Adhiarja Saputra,920104,3,91,lost_customers
Adhiarja Saragih,38014435,31,11,"slipping away, cannot lose"
Adhiarja Sihotang,511873,2,500,lost_customers
Adhiarja Simanjuntak,238673,1,756,lost_customers
Adhiarja Siregar,7146255,5,10,
Adhiarja Situmorang,217618,1,175,lost_customers
Adhiarja Suryono,25442485,33,12,"slipping away, cannot lose"
Adhiarja Tamba,6278396,8,20,
Adhiarja Wacana,8433738,14,118,potential churners
Adhiarja Wahyudin,6327716,7,69,potential churners
Adhiarja Waluyo,63448494,68,30,loyal
Adhiarja Waskita,4374797,10,165,potential churners
Adhiarja Wibisono,1386035,6,484,lost_customers
Adhiarja Wibowo,905565094,249,16,loyal
Adiarja Budiman,6663522,8,45,potential churners
Adiarja Dabukke,9323868,20,11,
Adiarja Dongoran,418166,1,200,lost_customers
Adiarja Firmansyah,772992,3,196,lost_customers
Adiarja Habibi,1498886,3,231,lost_customers
Adiarja Haryanto,369621,1,490,lost_customers
Adiarja Hidayanto,76648491,122,5,loyal
Adiarja Hidayat,676720,2,185,lost_customers
Adiarja Hutasoit,57967022,99,59,loyal
Adiarja Iswahyudi,15662135,14,223,active
Adiarja Kuswoyo,916307,4,103,lost_customers
Adiarja Lazuardi,628014,1,581,lost_customers
Adiarja Maheswara,4033682,10,175,potential churners
Adiarja Mandala,102243910,32,52,loyal
Adiarja Mangunsong,1911725,5,176,lost_customers
Adiarja Manullang,307962,1,293,lost_customers
Adiarja Maryadi,1374559,2,921,lost_customers
Adiarja Nababan,1396411,4,279,lost_customers
Adiarja Nainggolan,4568224,4,795,lost_customers
Adiarja Najmudin,15922450,24,68,active
Adiarja Narpati,214187,1,7,lost_customers
Adiarja Pranowo,546390,1,1975,lost_customers
Adiarja Prasetyo,26431682,15,245,active
Adiarja Prayoga,3848483,8,68,potential churners
Adiarja Saefullah,31335453,39,45,active
Adiarja Santoso,397894,1,232,lost_customers
Adiarja Setiawan,5467674,11,133,potential churners
Adiarja Sihombing,64425472,89,49,loyal
Adiarja Sinaga,68277951,84,27,loyal
Adiarja Siregar,3954155,10,104,potential churners
Adiarja Sitompul,1734509,4,22,lost_customers
Adiarja Tamba,37112268,70,41,"slipping away, cannot lose"
Adiarja Utama,55000896,87,43,"slipping away, cannot lose"
Adiarja Wacana,42223995,60,34,"slipping away, cannot lose"
Adiarja Waskita,27226129,23,60,active
Adiarja Wibowo,120973180,136,38,loyal
Adiarja Wijaya,133354,1,16,lost_customers
Adiarja Zulkarnain,3753540,5,3,
Adika Gunawan,91483961,33,86,active
Adika Habibi,1111785,3,0,lost_customers
Adika Halim,198655,1,24,lost_customers
Adika Haryanto,134400,1,1090,lost_customers
Adika Hidayanto,557533,2,83,lost_customers
Adika Hutapea,207987,1,563,lost_customers
Adika Irawan,1214418,2,246,lost_customers
Adika Januar,5318829,9,189,potential churners
Adika Lazuardi,28923144,23,70,active
Adika Mahendra,3654857,12,129,potential churners
Adika Maheswara,642567548,53,153,active
Adika Mandala,64172395,57,5,loyal
Adika Mangunsong,82969903,58,28,loyal
Adika Marpaung,242358952,157,1,loyal
Adika Nainggolan,21159315,20,109,active
Adika Nugroho,585640,2,12,lost_customers
Adika Prabowo,145431937,145,45,loyal
Adika Prasasta,106289704,96,23,loyal
Adika Prasetyo,151523,1,595,lost_customers
Adika Prayoga,23962279,8,748,active
Adika Putra,13777941,19,93,
Adika Saptono,10696188,21,89,
Adika Sihombing,19341277,32,1,"slipping away, cannot lose"
Adika Sihotang,3576924,12,153,potential churners
Adika Wibisono,107296582,89,14,loyal
Adika Winarno,4731692,5,310,lost_customers
Adika Zulkarnain,40548054,53,35,active
Adikara Adriansyah,309974532,91,17,loyal
Adikara Ardianto,2828100,12,146,potential churners
Adikara Gunawan,18986591,22,77,active
Adikara Habibi,279887,1,187,lost_customers
Adikara Hidayat,223707317,30,105,active
Adikara Irawan,53253772,28,107,active
Adikara Kurniawan,31391835,18,12,
Adikara Kuswoyo,32129695,20,53,active
Adikara Maryadi,20810519,20,9,"slipping away, cannot lose"
Adikara Megantara,42822797,25,92,active
Adikara Mustofa,65360299,63,4,loyal
Adikara Nainggolan,66326159,56,78,
Adikara Narpati,36382467,38,17,"slipping away, cannot lose"
Adikara Nashiruddin,16727452,26,111,active
Adikara Natsir,710430,1,1077,lost_customers
Adikara Pangestu,26784575,36,23,"slipping away, cannot lose"
Adikara Pratama,12863580,19,185,
Adikara Rajata,188597220,187,6,loyal
Adikara Saefullah,447958,1,118,lost_customers
Adikara Sihombing,46473513,86,45,"slipping away, cannot lose"
Adikara Siregar,296701,2,218,lost_customers
Adikara Suryono,27399017,36,18,"slipping away, cannot lose"
Adikara Suwarno,7285099,11,55,potential churners
Adikara Thamrin,624237,2,810,lost_customers
Adikara Utama,753186,2,511,lost_customers
Adikara Wacana,345933,2,103,lost_customers
Adinata Budiman,47309192,56,38,"slipping away, cannot lose"
Adinata Budiyanto,28801675,25,11,"slipping away, cannot lose"
Adinata Dabukke,3097769,12,73,potential churners
Adinata Dongoran,3179856,7,68,potential churners
Adinata Firmansyah,37616534,35,54,active
Adinata Haryanto,49407056,96,29,"slipping away, cannot lose"
Adinata Hutagalung,223841,1,938,lost_customers
Adinata Iswahyudi,79148675,76,40,loyal
Adinata Kurniawan,1571415,4,37,
Adinata Kusumo,663830,2,207,lost_customers
Adinata Marbun,1285195,3,581,lost_customers
Adinata Marpaung,634704,3,69,lost_customers
Adinata Maryadi,74420230,45,41,loyal
Adinata Nashiruddin,6958040,6,104,potential churners
Adinata Pangestu,6114014,15,63,potential churners
Adinata Prabowo,1045749,4,35,
Adinata Pradipta,600432,2,153,lost_customers
Adinata Prakasa,8906775,21,62,potential churners
Adinata Prasasta,244059,1,748,lost_customers
Adinata Prasetya,12586799,8,562,
Adinata Rajata,143221,1,2214,lost_customers
Adinata Santoso,3627589,7,27,potential churners
Adinata Setiawan,491456299,346,5,loyal
Adinata Sihotang,35446647,43,7,"slipping away, cannot lose"
Adinata Simanjuntak,117395625,85,6,loyal
Adinata Sitorus,47907537,51,9,"slipping away, cannot lose"
Adinata Situmorang,161837,1,1204,lost_customers
Adinata Suwarno,4887290,11,145,potential churners
Adinata Tamba,2697041,6,178,potential churners
Adinata Utama,880853,2,763,lost_customers
Adinata Wahyudin,6386475,15,41,potential churners
Adinata Waskita,1458281,6,232,lost_customers
Adinata Wibisono,5743661,11,51,potential churners
Adinata Winarno,3214849,7,48,potential churners
Aditya Anggriawan,10097226,6,403,
Aditya Ardianto,10751504,20,70,
Aditya Budiman,13688632,26,18,
Aditya Budiyanto,18956691,18,139,potential churners
Aditya Dabukke,53722070,28,56,active
Aditya Habibi,3358790,3,253,lost_customers
Aditya Hutagalung,9742596,8,303,
Aditya Irawan,38289875,59,4,"slipping away, cannot lose"
Aditya Januar,1423896,4,115,lost_customers
Aditya Kusumo,413012,2,342,lost_customers
Aditya Lazuardi,493646,2,991,lost_customers
Aditya Marbun,8241591,16,108,potential churners
Aditya Maryadi,2546298,5,233,lost_customers
Aditya Mustofa,518787,1,1038,lost_customers
Aditya Nainggolan,88538309,94,22,loyal
Aditya Nugroho,8814948,10,447,
Aditya Prabowo,1982661,4,550,lost_customers
Aditya Prasasta,1191158,3,535,lost_customers
Aditya Prasetya,1219258,6,223,lost_customers
Aditya Rajasa,737885,2,997,lost_customers
Aditya Salahudin,2001855,2,616,lost_customers
Aditya Samosir,140408182,128,41,loyal
Aditya Santoso,152306,1,1104,lost_customers
Aditya Saputra,4779227,10,85,potential churners
Aditya Sihombing,120984115,132,7,loyal
Aditya Suwarno,80766907,78,9,loyal
Aditya Tampubolon,21160739,32,47,active
Aditya Utama,892914,2,181,lost_customers
Aditya Uwais,25627278,38,44,active
Aditya Wijaya,40042937,13,46,active
Agnes Agustina,8521862,14,122,potential churners
Agnes Andriani,12285685,26,96,
Agnes Anggraini,17954030,25,32,active
Agnes Astuti,50914451,87,22,"slipping away, cannot lose"
Agnes Fujiati,6492511,9,88,potential churners
Agnes Handayani,174172218,51,36,loyal
Agnes Hariyah,42755289,50,49,active
Agnes Hartati,51612785,49,59,active
Agnes Haryanti,412759533,335,65,
Agnes Hasanah,53760361,44,9,"slipping away, cannot lose"
Agnes Hassanah,281027442,265,5,loyal
Agnes Hastuti,90368539,49,84,active
Agnes Kusmawati,4343259,7,51,potential churners
Agnes Kuswandari,6311629,19,94,
Agnes Lailasari,6767817,10,10,
Agnes Laksita,1426627,5,700,lost_customers
Agnes Laksmiwati,143735,1,259,lost_customers
Agnes Maryati,15972478,22,157,active
Agnes Mayasari,13224632,24,20,
Agnes Mulyani,9689815,12,53,potential churners
Agnes Namaga,10971646,24,89,
Agnes Nasyiah,489912721,341,1,loyal
Agnes Nasyidah,119430687,62,54,loyal
Agnes Novitasari,5001226,10,316,
Agnes Nuraini,22670377,27,120,active
Agnes Oktaviani,92259306,47,37,loyal
Agnes Padmasari,450334,2,487,lost_customers
Agnes Palastri,42453760,47,45,active
Agnes Permata,13987881,31,71,
Agnes Pertiwi,22996048,32,23,"slipping away, cannot lose"
Agnes Prastuti,25477754,13,294,active
Agnes Pratiwi,16260318,21,75,active
Agnes Pudjiastuti,41253404,49,55,active
Agnes Purwanti,148618372,132,14,loyal
Agnes Puspasari,115780094,81,27,loyal
Agnes Puspita,79268930,65,24,loyal
Agnes Rahayu,37070902,76,20,"slipping away, cannot lose"
Agnes Rahimah,133877774,213,9,loyal
Agnes Rahmawati,205266,1,217,lost_customers
Agnes Riyanti,437702,2,165,lost_customers
Agnes Safitri,19180482,36,6,"slipping away, cannot lose"
Agnes Suartini,443531,2,197,lost_customers
Agnes Sudiati,4509905,11,213,
Agnes Suryatmi,34382636,52,22,"slipping away, cannot lose"
Agnes Susanti,22282512,31,15,"slipping away, cannot lose"
Agnes Usada,12095526,25,11,
Agnes Usamah,23562783,32,61,active
Agnes Utami,28176023,23,65,active
Agnes Uyainah,22219384,35,84,active
Agnes Wastuti,344897322,148,5,loyal
Agnes Widiastuti,5112907,12,36,potential churners
Agnes Wijayanti,46278735,62,20,"slipping away, cannot lose"
Agnes Winarsih,55201451,53,39,active
Agnes Wulandari,138963544,147,14,loyal
Agnes Yolanda,1433405,4,104,lost_customers
Agnes Yulianti,4131187,15,46,potential churners
Agnes Yuliarti,43696341,23,126,active
Agnes Yuniar,16348728,34,28,active
Agus Dabukke,898579,3,189,lost_customers
Agus Dongoran,6811449,20,39,potential churners
Agus Hardiansyah,2662963,8,169,potential churners
Agus Hutapea,275451796,56,55,loyal
Agus Irawan,929326,2,664,lost_customers
Agus Iswahyudi,199303,1,1076,lost_customers
Agus Kurniawan,76521669,60,93,
Agus Latupono,5723327,8,18,
Agus Mahendra,216160,1,364,lost_customers
Agus Mansur,15388200,14,156,potential churners
Agus Manullang,60975946,22,48,loyal
Agus Megantara,16567775,11,0,
Agus Najmudin,2338382,2,1926,lost_customers
Agus Prabowo,553558,2,557,lost_customers
Agus Pradipta,26355343,16,22,
Agus Santoso,13010451,6,359,
Agus Saptono,5305743,4,329,lost_customers
Agus Saputra,993389,4,404,lost_customers
Agus Sihombing,5479662,13,172,potential churners
Agus Simanjuntak,1077396,2,337,lost_customers
Agus Sinaga,115107,1,35,
Agus Sitompul,23569166,31,9,"slipping away, cannot lose"
Agus Tampubolon,223108,1,344,lost_customers
Agus Tarihoran,13534547,18,48,potential churners
Agus Utama,23111160,22,18,"slipping away, cannot lose"
Agus Uwais,22001047,13,411,active
Agus Waskita,27705537,44,33,active
Agus Winarno,6549484,13,112,potential churners
Aisyah Agustina,46208352,54,64,
Aisyah Andriani,124269452,103,8,loyal
Aisyah Anggraini,36201089,32,45,active
Aisyah Aryani,21833764,42,17,"slipping away, cannot lose"
Aisyah Fujiati,33914101,15,161,potential churners
Aisyah Halimah,29650452,49,18,"slipping away, cannot lose"
Aisyah Handayani,14358759,8,207,active
Aisyah Hariyah,57965752,33,6,loyal
Aisyah Hartati,198773537,179,48,loyal
Aisyah Haryanti,39821978,78,21,"slipping away, cannot lose"
Aisyah Hasanah,315891367,162,22,loyal
Aisyah Hassanah,265910,1,1735,lost_customers
Aisyah Kusmawati,78380031,54,7,loyal
Aisyah Lailasari,33575831,44,42,active
Aisyah Laksita,6151729,14,69,potential churners
Aisyah Laksmiwati,45780089,48,62,active
Aisyah Lestari,227167,1,1819,lost_customers
Aisyah Mandasari,331088,1,680,lost_customers
Aisyah Mardhiyah,198315091,204,1,loyal
Aisyah Maryati,31033696,54,9,"slipping away, cannot lose"
Aisyah Mayasari,5224254,8,122,potential churners
Aisyah Melani,61516551,65,1,loyal
Aisyah Mulyani,1511294,4,308,lost_customers
Aisyah Namaga,4776641,5,35,
Aisyah Nasyiah,1352049,3,11,lost_customers
Aisyah Nasyidah,35949760,53,36,active
Aisyah Novitasari,4118320,14,2,
Aisyah Nuraini,196734452,71,48,loyal
Aisyah Nurdiyanti,8620221,12,30,potential churners
Aisyah Oktaviani,56692325,58,56,"slipping away, cannot lose"
Aisyah Padmasari,55782918,88,14,"slipping away, cannot lose"
Aisyah Permata,49899070,32,65,active
Aisyah Pertiwi,14097652,17,2,
Aisyah Prastuti,69021417,64,72,
Aisyah Pratiwi,107714552,152,3,loyal
Aisyah Pudjiastuti,16678150,21,106,active
Aisyah Purnawati,52121892,115,41,"slipping away, cannot lose"
Aisyah Purwanti,41352951,44,53,active
Aisyah Puspita,73526452,62,17,loyal
Aisyah Rahayu,34621257,31,93,active
Aisyah Rahimah,1596224,3,651,lost_customers
Aisyah Rahmawati,152482428,198,13,loyal
Aisyah Riyanti,15487666,23,10,"slipping away, cannot lose"
Aisyah Safitri,19353057,35,38,active
Aisyah Suartini,75781629,38,54,loyal
Aisyah Sudiati,52287114,85,6,"slipping away, cannot lose"
Aisyah Suryatmi,44208196,44,35,active
Aisyah Susanti,1934631,7,237,lost_customers
Aisyah Usada,702269,2,315,lost_customers
Aisyah Usamah,132170259,155,30,loyal
Aisyah Utami,19526369,17,11,
Aisyah Wahyuni,129949719,129,10,loyal
Aisyah Wastuti,14513500,12,152,potential churners
Aisyah Widiastuti,5602663,14,63,potential churners
Aisyah Wijayanti,29799061,47,79,active
Aisyah Winarsih,143245337,80,71,
Aisyah Wulandari,14966926,25,24,"slipping away, cannot lose"
Aisyah Yolanda,4577577,14,120,potential churners
Aisyah Yulianti,81498445,101,9,loyal
Aisyah Yuliarti,38248594,12,500,active
Aisyah Yuniar,13795504,29,111,
Aisyah Zulaika,28265896,39,51,active
Ajeng Agustina,452162483,154,69,
Ajeng Andriani,134131608,90,20,loyal
Ajeng Astuti,146798984,99,6,loyal
Ajeng Farida,163203460,222,10,loyal
Ajeng Fujiati,21190663,23,115,active
Ajeng Halimah,322634049,358,13,loyal
Ajeng Handayani,40990981,43,3,"slipping away, cannot lose"
Ajeng Hariyah,64126157,112,7,loyal
Ajeng Hartati,103288231,73,13,loyal
Ajeng Haryanti,189541,1,2205,lost_customers
Ajeng Hasanah,395312,1,1991,lost_customers
Ajeng Hassanah,326553058,234,15,loyal
Ajeng Kusmawati,22978394,32,40,active
Ajeng Kuswandari,4356684,5,97,lost_customers
Ajeng Lailasari,369197889,376,1,loyal
Ajeng Laksita,13887393,9,34,potential churners
Ajeng Laksmiwati,24157445,35,13,"slipping away, cannot lose"
Ajeng Lestari,3137949,9,201,
Ajeng Mardhiyah,112001774,124,45,loyal
Ajeng Maryati,50246579,17,91,potential churners
Ajeng Mulyani,72886877,28,14,loyal
Ajeng Namaga,6401833,7,152,potential churners
Ajeng Nasyiah,220735,2,78,lost_customers
Ajeng Novitasari,57047810,66,12,loyal
Ajeng Nuraini,146150299,114,11,loyal
Ajeng Nurdiyanti,85448980,33,7,loyal
Ajeng Padmasari,122151618,154,14,loyal
Ajeng Palastri,111710304,105,1,loyal
Ajeng Permata,188406315,115,28,loyal
Ajeng Pertiwi,1632680,5,119,lost_customers
Ajeng Prastuti,74463190,115,25,loyal
Ajeng Pratiwi,29955317,36,93,active
Ajeng Pudjiastuti,24472867,10,210,active
Ajeng Purnawati,2456848,9,178,potential churners
Ajeng Purwanti,2994492,2,1095,lost_customers
Ajeng Puspasari,6467948,8,297,
Ajeng Puspita,4871032,12,110,potential churners
Ajeng Rahayu,6294688,15,180,potential churners
Ajeng Rahimah,117776224,86,2,loyal
Ajeng Rahmawati,8654397,20,19,
Ajeng Riyanti,619448304,533,5,loyal
Ajeng Safitri,34387383,23,44,active
Ajeng Sudiati,81487192,100,19,loyal
Ajeng Susanti,31667468,28,142,active
Ajeng Usada,40710613,36,34,active
Ajeng Usamah,415602,1,1917,lost_customers
Ajeng Utami,135370221,113,5,loyal
Ajeng Uyainah,74451808,64,54,loyal
Ajeng Wahyuni,2141476,5,125,lost_customers
Ajeng Wastuti,1433691,2,0,lost_customers
Ajeng Wijayanti,282644,1,1849,lost_customers
Ajeng Winarsih,62979275,36,76,active
Ajeng Yolanda,109560476,152,56,loyal
Ajeng Yulianti,7922797,13,70,potential churners
Ajeng Yuliarti,34085381,76,3,"slipping away, cannot lose"
Ajeng Yuniar,2993572,4,91,lost_customers
Ajeng Zulaika,15206211,20,111,active
Ajiman Budiyanto,1033088,2,604,lost_customers
Ajiman Damanik,41694615,40,27,active
Ajiman Haryanto,40649941,31,79,active
Ajiman Iswahyudi,5985637,8,253,
Ajiman Jailani,731144,2,1270,lost_customers
Ajiman Kurniawan,27922419,41,33,active
Ajiman Lazuardi,9140413,7,729,
Ajiman Mangunsong,7140973,13,152,potential churners
Ajiman Marpaung,2364092,7,83,potential churners
Ajiman Napitupulu,261040,1,333,lost_customers
Ajiman Narpati,210648,1,209,lost_customers
Ajiman Pangestu,100640419,125,6,loyal
Ajiman Pranowo,19626232,23,116,active
Ajiman Pratama,81404643,75,34,loyal
Ajiman Rajasa,104400038,124,18,loyal
Ajiman Sihombing,23495149,30,89,active
Ajiman Sihotang,28429380,31,54,active
Ajiman Sirait,1941641,4,481,lost_customers
Ajiman Siregar,13691977,9,1029,
Ajiman Suryono,34481552,27,102,active
Ajiman Suwarno,1567190,3,439,lost_customers
Ajiman Tampubolon,36275179,39,31,active
Ajiman Thamrin,6960568,17,34,potential churners
Ajiman Wacana,17835455,11,48,active
Ajiman Wahyudin,1803244,7,45,lost_customers
Ajiman Wasita,5530355,6,250,
Ajiman Waskita,4115859,5,1109,lost_customers
Ajiman Wibisono,13998229,19,7,
Ajiman Wibowo,404838637,296,44,loyal
Ajimat Adriansyah,5144213,14,90,potential churners
Ajimat Anggriawan,158464867,140,12,loyal
Ajimat Ardianto,3075496,2,281,lost_customers
Ajimat Damanik,138942965,83,56,loyal
Ajimat Dongoran,496158991,225,3,loyal
Ajimat Habibi,1375324,4,185,lost_customers
Ajimat Hutasoit,47775505,85,27,"slipping away, cannot lose"
Ajimat Kusumo,13663946,31,53,potential churners
Ajimat Mansur,11399902,18,49,potential churners
Ajimat Marbun,78130369,71,3,loyal
Ajimat Maulana,97123548,93,15,loyal
Ajimat Nababan,17083370,7,380,active
Ajimat Nainggolan,1936413,7,23,
Ajimat Najmudin,4034059,9,133,potential churners
Ajimat Pradipta,24802413,46,42,active
Ajimat Prasetya,11445802,13,24,
Ajimat Prasetyo,10468198,16,112,potential churners
Ajimat Prayoga,656095,3,468,lost_customers
Ajimat Salahudin,271119,1,1527,lost_customers
Ajimat Samosir,2782328,6,99,potential churners
Ajimat Saragih,44246093,70,7,"slipping away, cannot lose"
Ajimat Setiawan,123651,1,1022,lost_customers
Ajimat Sihombing,30110052,29,39,active
Ajimat Sihotang,609868,1,2014,lost_customers
Ajimat Sinaga,2715924,6,271,
Ajimat Siregar,1242330,4,189,lost_customers
Ajimat Sitorus,139877912,129,42,loyal
Ajimat Thamrin,597913,1,729,lost_customers
Ajimat Wibisono,43079544,43,44,active
Ajimat Winarno,40472887,23,127,active
Ajimin Adriansyah,236045,1,1013,lost_customers
Ajimin Budiman,80889619,67,16,loyal
Ajimin Budiyanto,39569754,35,74,active
Ajimin Damanik,72959927,31,15,loyal
Ajimin Halim,43121620,22,12,"slipping away, cannot lose"
Ajimin Hutagalung,6936424,9,129,potential churners
Ajimin Hutasoit,493260,1,1729,lost_customers
Ajimin Kuswoyo,3771152,6,368,
Ajimin Latupono,31619000,29,34,active
Ajimin Mahendra,515281,2,160,lost_customers
Ajimin Mandala,3410539,9,28,potential churners
Ajimin Mansur,8589768,17,106,potential churners
Ajimin Megantara,947196,2,521,lost_customers
Ajimin Napitupulu,2898390,9,28,potential churners
Ajimin Narpati,1587598,3,42,
Ajimin Nashiruddin,13403075,17,145,potential churners
Ajimin Natsir,62680805,60,12,loyal
Ajimin Nugroho,26028776,24,9,"slipping away, cannot lose"
Ajimin Pradipta,137424,1,741,lost_customers
Ajimin Pranowo,140559,1,660,lost_customers
Ajimin Prayoga,100095354,59,43,loyal
Ajimin Rajata,13773714,32,24,
Ajimin Setiawan,18828741,28,24,"slipping away, cannot lose"
Ajimin Sihotang,736345,3,165,lost_customers
Ajimin Simanjuntak,57044070,66,36,loyal
